Label,Score,Status,x,y,r,x0,y0,r0,weight,px,py,id,SEVEN,FOUR,TWO,FIVET,FOURT,THREET,TWOT
GLOVE-CNN,0.402960714,Correct,167.9869488,325.5783406,3.476082459,200,322.4012144,4.417764284,0,167.9788829,325.6025157,24,1,1,1,3,2,2,1
GLOVE-LSTM,0.402960714,Correct,366.8982325,334.0410353,3.476082459,400,322.4012144,4.417764284,0,366.9301954,333.977173,24,1,1,1,3,2,2,1
ROBERTA-LARGE,0.402960714,Correct,605.6354844,334.6670475,3.476082459,600,322.4012144,4.417764284,0,605.6172594,334.6776573,24,1,1,1,3,2,2,1
BERT-BASE,0.404416499,Incorrect,1003.522119,328.7397048,3.481415134,1000,321.6150905,4.426498994,0,1003.540909,328.7514125,113,1,1,1,3,2,2,1
BERT-LARGE,0.404416499,Incorrect,824.3303694,324.0316654,3.481415134,800,321.6150905,4.426498994,0,824.3250983,324.0402849,113,1,1,1,3,2,2,1
GLOVE-CNN,0.404416499,Incorrect,192.8328353,335.1810715,3.481415134,200,321.6150905,4.426498994,0,192.8367483,335.1665416,113,1,1,1,3,2,2,1
GLOVE-LSTM,0.404416499,Incorrect,384.1176105,324.0796972,3.481415134,400,321.6150905,4.426498994,0,384.1112084,323.9353968,113,1,1,1,3,2,2,1
ROBERTA-LARGE,0.404416499,Incorrect,563.7355394,328.4529903,3.481415134,600,321.6150905,4.426498994,0,563.7465666,328.4522664,113,1,1,1,3,2,2,1
BERT-BASE,0.404604068,Correct,1004.333977,317.7306243,3.482102217,1000,321.5138033,4.427624408,0,1004.340414,317.7107751,39,1,1,1,3,2,2,1
BERT-LARGE,0.404604068,Correct,850.8431482,323.9150319,3.482102217,800,321.5138033,4.427624408,0,850.8332164,323.9019344,39,1,1,1,3,2,2,1
GLOVE-CNN,0.404604068,Correct,198.3220711,326.8775747,3.482102217,200,321.5138033,4.427624408,0,198.3159407,326.8712353,39,1,1,1,3,2,2,1
GLOVE-LSTM,0.404604068,Correct,413.3367779,319.3381193,3.482102217,400,321.5138033,4.427624408,0,413.3886212,319.3581966,39,1,1,1,3,2,2,1
ROBERTA-LARGE,0.404604068,Correct,615.6629735,320.4352941,3.482102217,600,321.5138033,4.427624408,0,615.6453141,320.4158958,39,1,1,1,3,2,2,1
BERT-BASE,0.405177684,Correct,974.021291,327.7091942,3.484203426,1000,321.2040506,4.431066104,0,974.0154686,327.7174933,17,1,1,1,3,2,2,1
BERT-LARGE,0.405177684,Correct,788.9230951,330.6417124,3.484203426,800,321.2040506,4.431066104,0,788.9064922,330.6191574,17,1,1,1,3,2,2,1
GLOVE-CNN,0.405177684,Correct,228.2592193,329.370232,3.484203426,200,321.2040506,4.431066104,0,228.2124152,329.3805474,17,1,1,1,3,2,2,1
GLOVE-LSTM,0.405177684,Correct,375.4272622,328.9447183,3.484203426,400,321.2040506,4.431066104,0,375.4564886,328.8973531,17,1,1,1,3,2,2,1
ROBERTA-LARGE,0.405177684,Correct,614.7467347,330.6506219,3.484203426,600,321.2040506,4.431066104,0,614.7313511,330.6930859,17,1,1,1,3,2,2,1
