id,Label,Score,Status
61,BERT-LARGE,0.429174973,Correct
62,BERT-LARGE,0.522576596,Correct
63,BERT-LARGE,0.528432421,Correct
64,BERT-LARGE,0.489166156,Correct
65,BERT-LARGE,0.459885799,Incorrect
66,BERT-LARGE,0.40520248,Correct
67,BERT-LARGE,0.406963431,Correct
68,BERT-LARGE,0.472865053,Correct
69,BERT-LARGE,0.435560029,Correct
70,BERT-LARGE,0.426796328,Correct
71,BERT-LARGE,0.458942963,Correct
72,BERT-LARGE,0.48976547,Correct
73,BERT-LARGE,0.476095869,Correct
74,BERT-LARGE,0.487537159,Correct
75,BERT-LARGE,0.454668399,Correct
76,BERT-LARGE,0.475857062,Correct
77,BERT-LARGE,0.521191437,Correct
78,BERT-LARGE,0.47322162,Correct
79,BERT-LARGE,0.552194165,Correct
80,BERT-LARGE,0.532705277,Correct
81,BERT-LARGE,0.591243364,Correct
82,BERT-LARGE,0.483107139,Correct
83,BERT-LARGE,0.493329655,Correct
84,BERT-LARGE,0.540018048,Correct
85,BERT-LARGE,0.377053003,Correct
86,BERT-LARGE,0.488083212,Correct
87,BERT-LARGE,0.564509299,Correct
88,BERT-LARGE,0.464185705,Correct
89,BERT-LARGE,0.527080114,Correct
90,BERT-LARGE,0.482662337,Correct
91,BERT-LARGE,0.452416826,Correct
92,BERT-LARGE,0.450433464,Correct
93,BERT-LARGE,0.418966416,Incorrect
94,BERT-LARGE,0.488988585,Incorrect
95,BERT-LARGE,0.544770043,Correct
96,BERT-LARGE,0.471826878,Incorrect
97,BERT-LARGE,0.488946479,Correct
98,BERT-LARGE,0.54095122,Correct
99,BERT-LARGE,0.551682968,Correct
100,BERT-LARGE,0.46835886,Correct
101,BERT-LARGE,0.498426789,Correct
102,BERT-LARGE,0.520920611,Correct
103,BERT-LARGE,0.516681888,Correct
104,BERT-LARGE,0.551151768,Correct
105,BERT-LARGE,0.555828193,Correct
106,BERT-LARGE,0.504718678,Correct
107,BERT-LARGE,0.51697392,Correct
108,BERT-LARGE,0.476345868,Correct
109,BERT-LARGE,0.359722262,Correct
110,BERT-LARGE,0.460647575,Correct
111,BERT-LARGE,0.40102738,Incorrect
112,BERT-LARGE,0.340461022,Correct
113,BERT-LARGE,0.404416499,Incorrect
114,BERT-LARGE,0.526971318,Correct
115,BERT-LARGE,0.500524632,Correct
116,BERT-LARGE,0.549396498,Incorrect
117,BERT-LARGE,0.450649097,Correct
118,BERT-LARGE,0.503486344,Correct
119,BERT-LARGE,0.491410289,Incorrect
