Label,Score,Status,x,y,r,x0,y0,r0,px,py,id,SEVEN,FOUR,TWO,FIVET,FOURT,THREET,TWOT
BERT-BASE,0.78018016,Correct,994.9565391,183.1832158,4.857872266,1000,183.1832,6.68108096,994.9534332,183.183216,103,1,1,1,4,3,2,1
GLOVE-LSTM,0.78104019,Correct,400.7958361,180.0609895,4.861022636,400,182.4665083,6.68624114,400.7967953,180.0637187,148,1,1,1,4,3,2,1
GLOVE-LSTM,0.78116161,Correct,413.2787783,182.5182049,4.861467409,400,182.365325,6.68696966,413.2784065,182.5182318,122,1,1,1,4,3,2,1
GLOVE-CNN,0.78372836,Correct,203.9008062,181.2378745,4.870869652,200,180.2263667,6.70237016,203.902107,181.237186,143,1,1,1,4,3,2,1
GLOVE-CNN,0.785065,Incorrect,191.3839591,178.8307985,4.875765888,200,179.1125,6.71039,191.386898,178.8313333,2,1,1,1,4,3,2,1
GLOVE-CNN,0.7941758,Correct,211.0409519,170.6384898,4.909139593,200,171.5201667,6.7650548,211.0408308,170.6390692,81,1,1,1,4,3,2,1
BERT-BASE,0.80470896,Correct,1003.215944,162.7826139,4.947723535,1000,162.7425333,6.82825376,1003.213021,162.7826189,8,1,1,1,4,3,2,1
BERT-BASE,0.80599362,Correct,990.3672209,161.6318444,4.952429364,1000,161.6719833,6.83596172,990.3661916,161.6318386,66,1,1,1,4,3,2,1
GLOVE-CNN,0.80771446,Incorrect,187.7032975,160.6487123,4.95873296,200,160.23795,6.84628676,187.7052096,160.6487932,137,1,1,1,4,3,2,1
GLOVE-LSTM,0.80962718,Correct,403.4442047,161.804525,4.965739431,400,158.6440167,6.85776308,403.4429849,161.800814,65,1,1,1,4,3,2,1
ROBERTA-LARGE,0.81113553,Incorrect,600.7210528,157.3870595,4.971264657,600,157.3870583,6.86681318,600.7214969,157.3870595,120,1,1,1,4,3,2,1
GLOVE-LSTM,0.81292421,Incorrect,416.1243505,159.2160198,4.977816758,400,155.8964917,6.87754526,416.1217198,159.2149982,84,1,1,1,4,3,2,1
GLOVE-CNN,0.81361026,Correct,199.4068197,155.1312382,4.980329822,200,155.3247833,6.88166156,199.4065688,155.1311831,149,1,1,1,4,3,2,1
GLOVE-LSTM,0.81402153,Incorrect,391.4102981,157.0269932,4.981836343,400,154.9820583,6.88412918,391.4078352,157.0315682,38,1,1,1,4,3,2,1
BERT-LARGE,0.81670278,Incorrect,785.3899981,153.1108584,4.99165801,800,152.7476833,6.90021668,785.3906047,153.1109395,140,1,1,1,4,3,2,1
GLOVE-CNN,0.81733018,Incorrect,211.9994869,152.0076455,4.993956234,200,152.22485,6.90398108,211.9972774,152.0076198,146,1,1,1,4,3,2,1
BERT-LARGE,0.81742638,Correct,809.6932156,152.4539414,4.994308624,800,152.1446833,6.90455828,809.6895498,152.4540085,51,1,1,1,4,3,2,1
GLOVE-LSTM,0.8212679,Correct,420.2893872,146.917037,5.008380468,400,148.9434167,6.9276074,420.2883503,146.9185882,79,1,1,1,4,3,2,1
BERT-LARGE,0.82138729,Correct,797.4155109,148.1715049,5.008817804,800,148.843925,6.92832374,797.4139507,148.1713568,8,1,1,1,4,3,2,1
GLOVE-LSTM,0.82187879,Incorrect,382.7766253,147.3231067,5.010618214,400,148.4343417,6.93127274,382.7818865,147.3234441,83,1,1,1,4,3,2,1
